year,avg_max_air_temp_adjusted,avg_max_air_temp_raw,avg_min_air_temp_adjusted,avg_min_air_temp_raw,annual_avg_air_temp_adjusted,annual_avg_air_temp_raw,avg_range_air_temp_adjusted,avg_precip_raw_mm,avg_snow_raw_cm,avg_snow_depth_cm,avg_ice_duration
1869,9.244109589041097,9.244109589041097,3.5895890410958904,3.5895890410958904,6.415616438356165,6.415616438356165,5.654520547945205,3.2635616438356165,NA,NA,126.5
1870,12.061917808219178,12.061917808219178,5.606027397260274,5.606027397260274,8.83068493150685,8.83068493150685,6.455890410958904,2.827671232876712,NA,NA,134.5
1871,11.236164383561643,11.236164383561643,4.758082191780822,4.758082191780822,7.993972602739726,7.993972602739726,6.478082191780822,2.647397260273973,NA,NA,99.5
1872,10.152459016393443,10.152459016393443,3.289071038251366,3.289071038251366,6.721584699453552,6.721584699453552,6.863387978142076,2.016120218579235,NA,NA,134
1873,10.004657534246576,10.004657534246576,3.6575342465753424,3.6575342465753424,6.829041095890411,6.829041095890411,6.3471232876712325,2.3747945205479453,NA,NA,142.5
1874,11.401917808219178,11.401917808219178,4.818630136986301,4.818630136986301,8.108219178082193,8.108219178082193,6.583287671232877,2.9545205479452057,NA,NA,136
1875,8.77945205479452,8.77945205479452,3.103013698630137,3.103013698630137,5.94,5.94,5.676438356164383,1.9980821917808218,NA,NA,124.5
1876,10.62103825136612,10.62103825136612,4.42431693989071,4.42431693989071,7.525956284153005,7.525956284153005,6.19672131147541,2.8918032786885246,NA,NA,91
1877,12.021095890410958,12.021095890410958,5.604931506849315,5.604931506849315,8.814520547945206,8.814520547945206,6.416164383561644,2.4093150684931506,NA,NA,131
1878,13.046027397260273,13.046027397260273,6.841643835616439,6.841643835616439,9.945205479452055,9.945205479452055,6.204383561643835,3.3,NA,NA,64.66666666666667
1879,13.735068493150685,13.735068493150685,4.236986301369863,4.236986301369863,8.985753424657535,8.985753424657535,9.498082191780822,2.9687671232876713,NA,NA,113.33333333333333
1880,13.577322404371584,13.577322404371584,4.281420765027322,4.281420765027322,8.925956284153006,8.925956284153006,9.295901639344262,3.3278688524590163,NA,NA,105.66666666666667
1881,13.349041095890412,13.349041095890412,4.132328767123288,4.132328767123288,8.738630136986302,8.738630136986302,9.216712328767123,3.903013698630137,NA,NA,161.66666666666666
